file_name,relative_path,suffix,size_bytes,top_level_group,subgroup,role_guess
429cf5f822600da91a6f4227c0af86c6.csv,Raw Sensing\unlock\429cf5f822600da91a6f4227c0af86c6.csv,.csv,7641281,Raw Sensing,unlock,sensor
45555d3305e255895b11695c179a98cd.csv,Raw Sensing\unlock\45555d3305e255895b11695c179a98cd.csv,.csv,7435076,Raw Sensing,unlock,sensor
46562035189535f838d640973dbb222e.csv,Raw Sensing\unlock\46562035189535f838d640973dbb222e.csv,.csv,12026043,Raw Sensing,unlock,sensor
46b53cdf4d639d54e894d92b6dff817f.csv,Raw Sensing\unlock\46b53cdf4d639d54e894d92b6dff817f.csv,.csv,8525042,Raw Sensing,unlock,sensor
46f1dfeda71a865074859c81bb314fd9.csv,Raw Sensing\unlock\46f1dfeda71a865074859c81bb314fd9.csv,.csv,3660020,Raw Sensing,unlock,sensor
480fca3c0b19afab1093cf2f01d63317.csv,Raw Sensing\unlock\480fca3c0b19afab1093cf2f01d63317.csv,.csv,9797141,Raw Sensing,unlock,sensor
4a8ac645226348425b0a43a8373e394d.csv,Raw Sensing\unlock\4a8ac645226348425b0a43a8373e394d.csv,.csv,4941323,Raw Sensing,unlock,sensor
4b5eb55e64b6bc941796bf114149cab7.csv,Raw Sensing\unlock\4b5eb55e64b6bc941796bf114149cab7.csv,.csv,7043552,Raw Sensing,unlock,sensor
4e37495c9c7c8a17e8737e2c61cfe228.csv,Raw Sensing\unlock\4e37495c9c7c8a17e8737e2c61cfe228.csv,.csv,15580911,Raw Sensing,unlock,sensor
4eeb9f06b3ff630aa8f81fd23e1dfe7b.csv,Raw Sensing\unlock\4eeb9f06b3ff630aa8f81fd23e1dfe7b.csv,.csv,9070143,Raw Sensing,unlock,sensor
50e32d5c464c892af7aa4b6a666e876d.csv,Raw Sensing\unlock\50e32d5c464c892af7aa4b6a666e876d.csv,.csv,4836480,Raw Sensing,unlock,sensor
51ac1dd0849798d75614176ebff633be.csv,Raw Sensing\unlock\51ac1dd0849798d75614176ebff633be.csv,.csv,7861705,Raw Sensing,unlock,sensor
54446e36f4601e2c4ab70c355baccc32.csv,Raw Sensing\unlock\54446e36f4601e2c4ab70c355baccc32.csv,.csv,5172131,Raw Sensing,unlock,sensor
546901e10be0157c4fed40c04bfeaaa5.csv,Raw Sensing\unlock\546901e10be0157c4fed40c04bfeaaa5.csv,.csv,4116326,Raw Sensing,unlock,sensor
557b44c8daf2ddb5d02313f20f2505b9.csv,Raw Sensing\unlock\557b44c8daf2ddb5d02313f20f2505b9.csv,.csv,4498646,Raw Sensing,unlock,sensor
5580eba4ad4d1266854f3fec95266bd2.csv,Raw Sensing\unlock\5580eba4ad4d1266854f3fec95266bd2.csv,.csv,16951540,Raw Sensing,unlock,sensor
58863d024fc04ff1c3082e2c81e14cf2.csv,Raw Sensing\unlock\58863d024fc04ff1c3082e2c81e14cf2.csv,.csv,16330565,Raw Sensing,unlock,sensor
59256b077a34f2f4ed7bbf7670e53786.csv,Raw Sensing\unlock\59256b077a34f2f4ed7bbf7670e53786.csv,.csv,5253964,Raw Sensing,unlock,sensor
596df3c263e97eb09d44a8535ec20ffa.csv,Raw Sensing\unlock\596df3c263e97eb09d44a8535ec20ffa.csv,.csv,1439083,Raw Sensing,unlock,sensor
59cf760cd019690c9007452187578915.csv,Raw Sensing\unlock\59cf760cd019690c9007452187578915.csv,.csv,8132279,Raw Sensing,unlock,sensor
5a254d648a95146b403690f81da84bc3.csv,Raw Sensing\unlock\5a254d648a95146b403690f81da84bc3.csv,.csv,15626400,Raw Sensing,unlock,sensor
5c446b55e04c641913c09fd39d01d32b.csv,Raw Sensing\unlock\5c446b55e04c641913c09fd39d01d32b.csv,.csv,8538258,Raw Sensing,unlock,sensor
5e1d4d2718012c036ea65bfe3c80c0e7.csv,Raw Sensing\unlock\5e1d4d2718012c036ea65bfe3c80c0e7.csv,.csv,16503730,Raw Sensing,unlock,sensor
5e8e425fb65143d25c73b88bd26638eb.csv,Raw Sensing\unlock\5e8e425fb65143d25c73b88bd26638eb.csv,.csv,5166762,Raw Sensing,unlock,sensor
5fa34bfca33d0ced12ea991006fbc934.csv,Raw Sensing\unlock\5fa34bfca33d0ced12ea991006fbc934.csv,.csv,9738023,Raw Sensing,unlock,sensor
600713d94c8ebe9f12f7d12c6479a131.csv,Raw Sensing\unlock\600713d94c8ebe9f12f7d12c6479a131.csv,.csv,10206365,Raw Sensing,unlock,sensor
61f9310e79c30ff4ff836fa065aee93a.csv,Raw Sensing\unlock\61f9310e79c30ff4ff836fa065aee93a.csv,.csv,9503085,Raw Sensing,unlock,sensor
