file_name,relative_path,column_name,dtype,null_count,null_pct,n_unique,sample_value_1
sensing.csv,Sensing\sensing.csv,loc_max_dis_from_campus_hr_23,float64,57910,0.2680211973248791,157633,349.877119485
sensing.csv,Sensing\sensing.csv,loc_max_dis_from_campus_hr_3,float64,59219,0.2740795593918497,156250,339.741070621
sensing.csv,Sensing\sensing.csv,loc_max_dis_from_campus_hr_4,float64,59512,0.2754356327956865,155957,339.741070621
sensing.csv,Sensing\sensing.csv,loc_max_dis_from_campus_hr_5,float64,59996,0.2776756994422975,155491,339.741070621
sensing.csv,Sensing\sensing.csv,loc_max_dis_from_campus_hr_6,float64,60188,0.2785643209219448,155331,339.741070621
sensing.csv,Sensing\sensing.csv,loc_max_dis_from_campus_hr_7,float64,60202,0.27862911623816905,155356,339.741070621
sensing.csv,Sensing\sensing.csv,loc_max_dis_from_campus_hr_8,float64,60557,0.280272140328142,155028,339.741070621
sensing.csv,Sensing\sensing.csv,loc_max_dis_from_campus_hr_9,float64,61380,0.2840811792747553,154214,339.741070621
sensing.csv,Sensing\sensing.csv,loc_other_dorm_audio_amp,float64,207038,0.9582209057459561,7917,13970.1761745
sensing.csv,Sensing\sensing.csv,loc_other_dorm_audio_voice,float64,184213,0.8525813991160067,7681,0.370805369128
sensing.csv,Sensing\sensing.csv,loc_other_dorm_convo_duration,float64,184213,0.8525813991160067,6417,13.2873453853
sensing.csv,Sensing\sensing.csv,loc_other_dorm_convo_num,float64,184213,0.8525813991160067,5086,1.71265461465
sensing.csv,Sensing\sensing.csv,loc_other_dorm_dur,float64,852,0.0039432578159350196,11376,0.0
sensing.csv,Sensing\sensing.csv,loc_other_dorm_still,float64,184213,0.8525813991160067,29227,49.1389153187
sensing.csv,Sensing\sensing.csv,loc_other_dorm_unlock_duration,float64,184213,0.8525813991160067,28997,0.218006660324
sensing.csv,Sensing\sensing.csv,loc_other_dorm_unlock_num,float64,184213,0.8525813991160067,17912,2.56898192198
sensing.csv,Sensing\sensing.csv,loc_self_dorm_audio_amp,float64,196351,0.9087589382824613,18315,2089.26122493
sensing.csv,Sensing\sensing.csv,loc_self_dorm_audio_voice,float64,150662,0.6972994237845093,18859,0.0
sensing.csv,Sensing\sensing.csv,loc_self_dorm_convo_duration,float64,150662,0.6972994237845093,15020,0.0
sensing.csv,Sensing\sensing.csv,loc_self_dorm_convo_num,float64,150662,0.6972994237845093,13899,0.0
sensing.csv,Sensing\sensing.csv,loc_self_dorm_dur,float64,852,0.0039432578159350196,28968,18.3347222222
sensing.csv,Sensing\sensing.csv,loc_self_dorm_still,float64,150662,0.6972994237845093,64656,59.5873039921
sensing.csv,Sensing\sensing.csv,loc_self_dorm_unlock_duration,float64,150662,0.6972994237845093,62612,5.01224937505
sensing.csv,Sensing\sensing.csv,loc_self_dorm_unlock_num,float64,150662,0.6972994237845093,54101,2.29073555034
sensing.csv,Sensing\sensing.csv,loc_social_audio_amp,float64,208711,0.9659639460347581,6438,13970.1761745
sensing.csv,Sensing\sensing.csv,loc_social_audio_voice,float64,190715,0.8826741952653137,6397,0.370805369128
sensing.csv,Sensing\sensing.csv,loc_social_convo_duration,float64,190715,0.8826741952653137,5546,13.2873453853
sensing.csv,Sensing\sensing.csv,loc_social_convo_num,float64,190715,0.8826741952653137,4171,1.71265461465
sensing.csv,Sensing\sensing.csv,loc_social_dur,float64,852,0.0039432578159350196,7803,0.0
sensing.csv,Sensing\sensing.csv,loc_social_still,float64,190715,0.8826741952653137,23369,49.1389153187
sensing.csv,Sensing\sensing.csv,loc_social_unlock_duration,float64,190715,0.8826741952653137,23550,0.218006660324
sensing.csv,Sensing\sensing.csv,loc_social_unlock_num,float64,190715,0.8826741952653137,12902,2.56898192198
sensing.csv,Sensing\sensing.csv,loc_study_audio_amp,float64,198377,0.9181357461874898,16074,7132.01087911
sensing.csv,Sensing\sensing.csv,loc_study_audio_voice,float64,156885,0.7261009418462037,17192,0.0650936909283
sensing.csv,Sensing\sensing.csv,loc_study_convo_duration,float64,156885,0.7261009418462037,14595,2.55697609783
sensing.csv,Sensing\sensing.csv,loc_study_convo_num,float64,156885,0.7261009418462037,11999,1.33407448583
sensing.csv,Sensing\sensing.csv,loc_study_dur,float64,852,0.0039432578159350196,20862,1.49916666667
sensing.csv,Sensing\sensing.csv,loc_study_still,float64,156885,0.7261009418462037,55626,46.6147859922
sensing.csv,Sensing\sensing.csv,loc_study_unlock_duration,float64,156885,0.7261009418462037,55563,3.87685380767
sensing.csv,Sensing\sensing.csv,loc_study_unlock_num,float64,156885,0.7261009418462037,36377,5.3362979433
sensing.csv,Sensing\sensing.csv,loc_visit_num_ep_0,float64,41184,0.19060930738435194,17,4.0
sensing.csv,Sensing\sensing.csv,loc_visit_num_ep_1,float64,48899,0.22631615486080578,11,3.0
sensing.csv,Sensing\sensing.csv,loc_visit_num_ep_2,float64,43590,0.2017448453011825,13,3.0
sensing.csv,Sensing\sensing.csv,loc_visit_num_ep_3,float64,45686,0.21144562978733253,12,3.0
sensing.csv,Sensing\sensing.csv,loc_visit_num_hr_0,float64,55876,0.2586073635248652,6,1.0
sensing.csv,Sensing\sensing.csv,loc_visit_num_hr_1,float64,57070,0.26413347835142204,7,1.0
sensing.csv,Sensing\sensing.csv,loc_visit_num_hr_10,float64,53949,0.24968875107027977,6,1.0
sensing.csv,Sensing\sensing.csv,loc_visit_num_hr_11,float64,53354,0.2469349501307477,6,1.0
sensing.csv,Sensing\sensing.csv,loc_visit_num_hr_12,float64,52800,0.2443709069030153,6,1.0
sensing.csv,Sensing\sensing.csv,loc_visit_num_hr_13,float64,52846,0.2445838057991808,6,0.0
sensing.csv,Sensing\sensing.csv,loc_visit_num_hr_14,float64,52982,0.245213246013931,6,1.0
sensing.csv,Sensing\sensing.csv,loc_visit_num_hr_15,float64,53091,0.24571772383310578,6,1.0
sensing.csv,Sensing\sensing.csv,loc_visit_num_hr_16,float64,53023,0.24540300372573068,6,0.0
sensing.csv,Sensing\sensing.csv,loc_visit_num_hr_17,float64,52516,0.24305648763103696,6,0.0
sensing.csv,Sensing\sensing.csv,loc_visit_num_hr_18,float64,52514,0.24304723115729063,6,0.0
sensing.csv,Sensing\sensing.csv,loc_visit_num_hr_19,float64,53405,0.247170990211279,6,2.0
